state,abb,region,population,total
alabama,AL,South,4779736,135
alaska,AK,West,710231,19
arizona,AZ,West,6392017,232
arkansas,AR,South,2915918,93
california,CA,West,37253956,1257
colorado,CO,West,5029196,65
connecticut,CT,Northeast,3574097,97
delaware,DE,South,897934,38
district of columbia,DC,South,601723,99
florida,FL,South,19687653,669
georgia,GA,South,9920000,376
hawaii,HI,West,1360301,7
idaho,ID,West,1567582,12
illinois,IL,North Central,12830632,364
indiana,IN,North Central,6483802,142
iowa,IA,North Central,3046355,21
kansas,KS,North Central,2853118,63
kentucky,KY,South,4339367,116
louisiana,LA,South,4533372,351
maine,ME,Northeast,1328361,11
maryland,MD,South,5773552,293
massachusetts,MA,Northeast,6547629,118
michigan,MI,North Central,9883640,413
minnesota,MN,North Central,5303925,53
mississippi,MS,South,2967297,120
missouri,MO,North Central,5988927,321
montana,MT,West,989415,12
nebraska,NE,North Central,1826341,32
nevada,NV,West,2700551,84
new hampshire,NH,Northeast,1316470,5
new jersey,NJ,Northeast,8791894,246
new mexico,NM,West,2059179,67
new york,NY,Northeast,19378102,517
north carolina,NC,South,9535483,286
north dakota,ND,North Central,672591,4
ohio,OH,North Central,11536504,310
oklahoma,OK,South,3751351,111
oregon,OR,West,3831074,36
pennsylvania,PA,Northeast,12702379,457
rhode island,RI,Northeast,1052567,16
south carolina,SC,South,4625364,207
south dakota,SD,North Central,814180,8
tennessee,TN,South,6346105,219
texas,TX,South,25145561,805
utah,UT,West,2763885,22
vermont,VT,Northeast,625741,2
virginia,VA,South,8001024,250
washington,WA,West,6724540,93
west virginia,WV,South,1852994,27
wisconsin,WI,North Central,5686986,97
wyoming,WY,West,563626,5
